Frame No.,Time ,Local Temp [degC],Position x [cm],Position y [cm],Dist Opt [cm],Dist Opt Avg [cm],T Opt [degC]
1,14:26:05,32.5,31.1,27.2,31.3,31.3,36
2,14:26:05,32.3,32.3,28.8,32.3,31.8,36
3,14:26:06,32.5,33.4,29.3,33.4,32.3,36
4,14:26:07,32.6,34.1,28.3,34.1,32.8,36
5,14:26:08,32.5,33.9,27.4,34,33,35.9
6,14:26:09,32.5,33,26.4,33.2,33,35.9
7,14:26:10,32.5,32.3,27,32.4,32.9,35.9
8,14:26:11,32.5,32.5,27.5,32.6,32.9,35.9
9,14:26:12,32.4,31.8,28,31.9,32.8,35.9
10,14:26:13,32.4,30.8,27.6,30.9,32.6,36.1
11,14:26:14,32.5,30.1,27.7,30.2,32.5,36.1
12,14:26:15,32.5,29.1,28,29.2,32.2,36.1
13,14:26:16,32.4,28.8,28.8,28.8,31.7,36.1
14,14:26:17,32.3,28.8,29.5,28.8,31.2,36.1
15,14:26:18,32.4,28.8,30.3,28.8,30.7,36.2
16,14:26:19,32.4,29.2,30.6,29.2,30.3,36.2
17,14:26:20,32.3,30,30.7,30,30,36.2
18,14:26:21,32.3,29.7,30.6,29.7,29.7,36.2
19,14:26:22,32.4,29.2,30.9,29.2,29.5,36.2
20,14:26:23,32.7,28.9,30.4,28.9,29.3,36.4
21,14:26:24,32.8,28,30.6,28,29,36.4
22,14:26:25,33,27,31.5,27.1,28.8,36.4
23,14:26:26,32.9,27.6,31.5,27.7,28.7,36.4
24,14:26:27,32.9,27.5,30.5,27.5,28.6,36.4
25,14:26:28,33,27,30.3,27,28.4,36.4
26,14:26:29,33.1,26.9,30.9,26.9,28.2,36.4
27,14:26:30,33.2,26.8,31.1,26.8,27.9,36.4
28,14:26:31,33.2,26.6,31.7,26.6,27.6,36.4
29,14:26:32,33.2,25.9,32.5,26,27.3,36.4
30,14:26:33,33.3,25.5,33.3,25.7,26.9,36.5
31,14:26:34,33.3,24.5,33.4,24.8,26.6,36.5
32,14:26:35,33.2,24.4,34.5,24.8,26.4,36.5
33,14:26:36,33.1,24.7,35.6,25.3,26.2,36.5
34,14:26:37,33.1,25.6,36.6,26.4,26,36.5
35,14:26:38,33,25,37.3,26,25.9,36.5
36,14:26:39,33,24.4,37.3,25.5,25.8,36.5
37,14:26:40,33,23.9,38.1,25.2,25.6,36.5
38,14:26:41,32.9,23.9,39.4,25.6,25.5,36.5
39,14:26:42,32.6,24.1,40.8,26.4,25.6,36.5
40,14:26:43,32.5,24,41.3,26.5,25.7,36.6
41,14:26:44,32.4,24.4,42.3,27.4,25.9,36.6
42,14:26:45,32.3,24.2,43.5,27.7,26.2,36.6
43,14:26:46,32.3,24.1,44.4,28.1,26.5,36.6
44,14:26:47,32.3,24.4,45.2,28.8,26.7,36.6
45,14:26:48,32.4,24.7,45.7,29.2,27,36.6
46,14:26:49,32.4,25.1,46.3,30,27.5,36.6
47,14:26:50,32.5,25.6,47.3,30.9,28.1,36.6
48,14:26:51,32.7,25.3,48.1,31.2,28.6,36.6
49,14:26:52,32.9,24.8,48.8,31.1,29.1,36.6
50,14:26:53,33,24.4,49.2,31.1,29.5,36.6
51,14:26:54,33,24.3,49.4,31.1,29.9,36.6
52,14:26:55,33.1,24.3,50,31.5,30.3,36.6
53,14:26:56,33.1,24.1,50.5,31.7,30.6,36.6
54,14:26:57,33.1,23.5,51.2,31.6,30.9,36.6
55,14:26:58,33.1,22.8,51.2,31.1,31.1,36.7
56,14:26:59,33.1,22.4,51.4,31,31.2,36.7
57,14:27:00,33.1,22.2,51.9,31.2,31.2,36.7
58,14:27:01,33.1,22.4,52.5,31.8,31.3,36.7
59,14:27:02,33.1,22.5,53.4,32.4,31.4,36.7
60,14:27:03,33.1,23,53.8,33.1,31.6,36.6
61,14:27:04,33,23.3,54.4,33.8,31.9,36.6
62,14:27:05,33,23.1,55,34,32.2,36.6
63,14:27:06,33,23.1,55.5,34.4,32.4,36.6
64,14:27:07,33,23.2,56.2,35,32.8,36.6
65,14:27:08,33,23.3,56.6,35.4,33.2,36.6
66,14:27:09,33,23.5,56.8,35.7,33.7,36.6
67,14:27:10,33,23.8,57.2,36.1,34.2,36.6
68,14:27:11,33,23.5,57.7,36.3,34.6,36.6
69,14:27:12,33,24.1,58.3,37.2,35.1,36.6
70,14:27:13,33.1,24.5,58.5,37.6,35.5,36.8
71,14:27:14,33,25.2,58.8,38.3,36,36.8
72,14:27:15,32.9,26.4,58.7,39,36.5,36.8
73,14:27:16,32.8,27,58.6,39.4,37,36.8
74,14:27:17,32.7,27.8,58.4,39.8,37.5,36.8
75,14:27:18,32.5,28.2,58.3,40,37.9,36.7
76,14:27:19,32.4,28.5,58.3,40.2,38.4,36.7
77,14:27:20,32.4,28.6,58.2,40.2,38.8,36.7
78,14:27:21,32.4,28.6,58.2,40.2,39.2,36.7
79,14:27:22,32.4,28.6,58.1,40.1,39.5,36.7
80,14:27:23,32.3,28.6,58,40.1,39.7,36.9
81,14:27:24,32.3,28.9,57.8,40.1,39.9,36.9
82,14:27:25,32.2,29.1,57.6,40.1,40,36.9
83,14:27:26,32.2,29.3,57.4,40.1,40.1,36.9
84,14:27:27,32.2,29.4,57.4,40.2,40.1,36.9
85,14:27:28,32.2,29.4,57.2,40.1,40.1,36.9
86,14:27:29,32.2,29.2,57.1,39.8,40.1,36.9
87,14:27:30,32.3,28.9,57,39.5,40,36.9
88,14:27:31,32.3,28.8,57,39.4,39.9,36.9
89,14:27:32,32.3,28.5,57.2,39.4,39.9,36.9
90,14:27:33,32.3,28.3,57.1,39.2,39.8,36.6
91,14:27:34,32.4,28.1,56.7,38.8,39.6,36.6
92,14:27:35,32.5,27.6,56.4,38.2,39.5,36.6
93,14:27:36,32.5,27.6,56.3,38.1,39.3,36.6
94,14:27:37,32.5,27.7,56.1,38.1,39.1,36.6
95,14:27:38,32.6,28,56,38.2,38.9,36.5
96,14:27:39,32.6,28,55.7,38,38.7,36.5
97,14:27:40,32.6,28.1,55.3,37.8,38.5,36.5
98,14:27:41,32.7,27.8,55,37.4,38.3,36.5
99,14:27:42,32.7,28.1,54.4,37.2,38.1,36.5
100,14:27:43,32.7,28.8,54.5,37.8,38,36.6
101,14:27:44,32.6,29.4,54.4,38.3,37.9,36.6
102,14:27:45,32.6,30.1,54.2,38.6,37.9,36.6
103,14:27:46,32.5,31.1,54.3,39.5,38.1,36.6
104,14:27:47,32.5,31.4,54.9,40,38.3,36.6
105,14:27:48,32.4,31.5,55.3,40.4,38.5,36.5
106,14:27:49,32.3,31.6,55.5,40.6,38.8,36.5
107,14:27:50,32.3,31.7,55.9,40.9,39.1,36.5
108,14:27:51,32.2,31.1,56.2,40.7,39.4,36.5
109,14:27:52,32.2,30.7,56.2,40.4,39.7,36.5
110,14:27:53,32.2,30.5,56.4,40.3,40,36.6
111,14:27:54,32.2,30,56.5,40,40.2,36.6
112,14:27:55,32.2,29.5,56.6,39.8,40.3,36.6
113,14:27:56,32.2,29.2,57.2,39.9,40.3,36.6
114,14:27:57,32.3,28.6,57.6,39.8,40.3,36.6
115,14:27:58,32.4,28.1,57.6,39.4,40.2,36.5
116,14:27:59,32.5,27.6,57.8,39.2,40,36.5
117,14:28:00,32.5,27.5,58,39.2,39.9,36.5
118,14:28:01,32.6,27.3,58.1,39.2,39.7,36.5
119,14:28:02,32.8,26.6,58.3,38.8,39.6,36.5
120,14:28:03,32.8,26.7,58.7,39.2,39.4,36.4
121,14:28:04,32.8,26.7,58.6,39.2,39.4,36.4
122,14:28:05,32.8,26.7,58.7,39.2,39.3,36.4
123,14:28:06,32.9,26.5,58.4,38.8,39.2,36.4
124,14:28:07,32.9,26.5,58.1,38.6,39.1,36.4
125,14:28:08,32.9,26.8,57.8,38.6,39,36.5
126,14:28:09,33,26.6,57.3,38.1,38.9,36.5
127,14:28:10,33.1,26.1,56.4,37.2,38.7,36.5
128,14:28:11,33.2,25.8,55.6,36.3,38.4,36.5
129,14:28:12,33.2,25.5,55,35.6,38.1,36.5
130,14:28:13,33.1,25.3,53.9,34.8,37.7,36.5
131,14:28:14,33.2,25.3,53,34.2,37.2,36.5
132,14:28:15,33.3,24.9,51.9,33.2,36.6,36.5
133,14:28:16,33.3,25.3,51.5,33.2,36,36.5
134,14:28:17,33.3,25.5,50.9,32.9,35.4,36.5
135,14:28:18,33.3,25.7,51.2,33.3,34.9,36.5
136,14:28:19,33.2,26.3,51.4,33.9,34.5,36.5
137,14:28:20,33.2,26.3,51.5,33.9,34.1,36.5
138,14:28:21,33.2,26,52,34.1,33.9,36.5
139,14:28:22,33.2,25.8,52.3,34.1,33.8,36.5
140,14:28:23,33.2,25.7,53.2,34.6,33.7,36.6
141,14:28:24,33.3,25,53.3,34.2,33.7,36.6
142,14:28:25,33.3,25,53.2,34.1,33.8,36.6
143,14:28:26,33.3,24.8,53,33.8,33.9,36.6
144,14:28:27,33.3,24.7,53.1,33.8,34,36.6
145,14:28:28,33.3,24.1,53.5,33.6,34,36.6
146,14:28:29,33.4,23.5,54.3,33.8,34,36.6
147,14:28:30,33.4,24.5,54.9,34.9,34.1,36.6
148,14:28:31,33.3,25.7,55.4,36.1,34.3,36.6
149,14:28:32,33.1,26.5,55.6,36.8,34.6,36.6
150,14:28:33,32.9,26.9,56.1,37.5,34.9,36.6
151,14:28:34,32.9,27,56.1,37.6,35.2,36.6
